record_id,person_id,name,alias,dob,prior_offences,gang_affiliation,known_address,ground_truth_flag
UP-CRIM-0001,UP00001,Rajesh Rajput,,1978-07-11,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-East-Ring,"168, Near Shivpur PS, Varanasi, Uttar Pradesh",core_gang
UP-CRIM-0002,UP00002,Rajesh Tiwari,,1984-03-18,2022 - IPC 386 / BNS 308 (Extortion); 2023 - UP Gangsters Act,UP-West-Ring,"114, Near Sector 39 PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0003,UP00003,Abhay Tripathi,,1999-06-08,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"147, Near Gomti Nagar PS, Lucknow, Uttar Pradesh",core_gang
UP-CRIM-0004,UP00004,Imran Nishad,Imran Nishad @ Don,1991-04-10,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"139, Near Kotwali PS, Bareilly, Uttar Pradesh",core_gang
UP-CRIM-0005,UP00005,Ravindra Kushwaha,,2000-01-19,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"79, Near Dhoomanganj PS, Prayagraj, Uttar Pradesh",core_gang
UP-CRIM-0006,UP00006,Rizwan Chaudhary,,2003-05-01,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-Central-Ring,"144, Near Tajganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0007,UP00007,Gufran Siddiqui,,1996-03-10,2022 - IPC 307 / BNS 109 (Attempt to Murder); 2023 - UP Gangsters Act,UP-East-Ring,"71, Near Indirapuram PS, Ghaziabad, Uttar Pradesh",core_gang
UP-CRIM-0008,UP00008,Gufran Tripathi,,1994-04-05,2022 - IPC 302 / BNS 103 (Murder); 2023 - UP Gangsters Act,UP-West-Ring,"134, Near Rakabganj PS, Agra, Uttar Pradesh",core_gang
UP-CRIM-0009,UP00009,Chhotu Maurya,,1985-02-19,2022 - Arms Act Sec 25/27; 2023 - UP Gangsters Act,UP-Central-Ring,"245, Near Knowledge Park PS, Gautam Buddha Nagar (Noida), Uttar Pradesh",core_gang
UP-CRIM-0010,UP00010,Babloo Tiwari,Babloo Tiwari @ Pandit,1995-11-03,2022 - IPC 395 / BNS 310 (Dacoity); 2023 - UP Gangsters Act,UP-East-Ring,"214, Near Barra PS, Kanpur Nagar, Uttar Pradesh",core_gang
