call_id,caller_id,caller_name,caller_phone,callee_id,callee_name,callee_phone,timestamp,day,call_type,duration_sec,cell_tower_location
UP-CDR-000001,UP00335,Pankaj Srivastav,9839000335,UP00303,Ravindra Chaudhary,9412000303,2024-01-20 08:36:00,20,voice,61,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000002,UP00363,Munna Tomar,8006000363,UP00335,Pankaj Srivastav,9839000335,2024-04-03 05:03:50,94,voice,568,"Sahibabad PS Tower, Ghaziabad"
UP-CDR-000003,UP00119,Alok Gupta,9450000119,UP00577,Pappu Pandey,9415000577,2024-01-20 18:39:36,20,voice,697,"Chakeri PS Tower, Kanpur Nagar"
UP-CDR-000004,UP00193,Rizwan Pal,9719000193,UP00494,Amit Gautam,8840000494,2024-02-27 00:28:12,58,voice,993,"Shahpur PS Tower, Gorakhpur"
UP-CDR-000005,UP00047,Chhotu Tripathi,9125000047,UP00313,Satish Gurjar,9125000313,2024-07-07 18:59:42,189,voice,241,"Phase 2 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000006,UP00177,Imran Srivastav,8006000177,UP00257,Abhay Dubey,7007000257,2024-05-09 16:08:43,130,sms,172,"Kalyanpur PS Tower, Kanpur Nagar"
UP-CDR-000007,UP00238,Virendra Tiwari,9415000238,UP00311,Babloo Ansari,9412000311,2024-04-08 21:12:18,99,voice,618,"Kotwali PS Tower, Ghaziabad"
UP-CDR-000008,UP01496,Munna Gurjar,9415001496,UP00056,Ajay Jaiswal,9839000056,2024-03-13 00:09:56,73,voice,512,"Nauchandi PS Tower, Meerut"
UP-CDR-000009,UP00082,Ramesh Pandey,9125000082,UP00545,Ravindra Qureshi,9719000545,2024-05-15 15:14:29,136,voice,1061,"Sihani Gate PS Tower, Ghaziabad"
UP-CDR-000010,UP00140,Chhotu Gupta,9412000140,UP00117,Munna Gurjar,9415000117,2024-01-05 07:55:42,5,voice,1171,"Ayodhya Kotwali PS Tower, Ayodhya"
UP-CDR-000011,UP00207,Dhananjay Pandey,8006000207,UP00498,Imran Pandey,9927000498,2024-05-18 15:36:43,139,voice,187,"Barra PS Tower, Kanpur Nagar"
UP-CDR-000012,UP00029,Ramesh Gautam,9450000029,UP00063,Sanjay Pandey,7007000063,2024-03-30 03:28:17,90,voice,1027,"Prem Nagar PS Tower, Bareilly"
UP-CDR-000013,UP00062,Manoj Chauhan,7500000062,UP00306,Imran Rawat,8006000306,2024-03-18 19:20:06,78,voice,1191,"Etmadpur PS Tower, Agra"
UP-CDR-000014,UP00149,Neeraj Khan,9450000149,UP00167,Sunil Kushwaha,9839000167,2024-04-09 19:33:16,100,voice,809,"Alambagh PS Tower, Lucknow"
UP-CDR-000015,UP00109,Satish Ansari,9839000109,UP00102,Deepak Gautam,9415000102,2024-07-20 20:12:55,202,voice,1194,"Kotwali PS Tower, Jhansi"
UP-CDR-000016,UP01315,Imran Maurya,9839001315,UP01939,Amit Khan,8006001939,2024-07-25 01:27:43,207,voice,263,"Subhash Nagar PS Tower, Bareilly"
UP-CDR-000017,UP02532,Alok Chauhan,8840002532,UP00091,Rakesh Pal,9125000091,2024-01-29 11:13:50,29,voice,42,"Ramgarh Tal PS Tower, Gorakhpur"
UP-CDR-000018,UP00510,Rajesh Qureshi,8840000510,UP00027,Vikram Singh,9837000027,2024-05-23 21:09:54,144,voice,772,"Chowk PS Tower, Lucknow"
UP-CDR-000019,UP00242,Abhay Maurya,8840000242,UP00086,Guddu Srivastav,9839000086,2024-05-09 19:08:25,130,voice,501,"Cantt PS Tower, Ayodhya"
UP-CDR-000020,UP00302,Dharmendra Dubey,9450000302,UP00242,Abhay Maurya,8840000242,2024-04-02 13:15:42,93,voice,416,"Civil Lines PS Tower, Meerut"
UP-CDR-000021,UP02858,Anil Chauhan,7007002858,UP01360,Bablu Pal,9125001360,2024-07-20 14:43:14,202,voice,819,"Katra PS Tower, Prayagraj"
UP-CDR-000022,UP00209,Satish Pal,9719000209,UP00084,Guddu Nishad,7500000084,2024-01-23 11:01:03,23,sms,447,"Kotwali PS Tower, Kanpur Nagar"
UP-CDR-000023,UP01685,Dhananjay Gupta,9450001685,UP02684,Mukhtar Rawat,7007002684,2024-06-11 10:48:57,163,voice,385,"Kavi Nagar PS Tower, Ghaziabad"
UP-CDR-000024,UP01127,Sanjay Tripathi,8840001127,UP01977,Gufran Jaiswal,9125001977,2024-05-31 16:35:24,152,voice,719,"Collectorganj PS Tower, Kanpur Nagar"
UP-CDR-000025,UP00593,Vikram Dubey,9412000593,UP00459,Alok Chauhan,7500000459,2024-02-28 13:14:11,59,voice,59,"Sihani Gate PS Tower, Ghaziabad"
UP-CDR-000026,UP00272,Neeraj Chauhan,9450000272,UP00121,Anil Tiwari,9412000121,2024-07-13 21:40:20,195,voice,523,"Mahanagar PS Tower, Lucknow"
UP-CDR-000027,UP00185,Akhilesh Pal,9839000185,UP00432,Manoj Qureshi,8840000432,2024-06-25 11:04:18,177,voice,605,"Etmadpur PS Tower, Agra"
UP-CDR-000028,UP00477,Chhotu Rajput,9839000477,UP00347,Babloo Tripathi,8006000347,2024-01-22 18:01:12,22,voice,865,"Chetganj PS Tower, Varanasi"
UP-CDR-000029,UP00516,Imran Dubey,9719000516,UP00741,Satish Chauhan,9719000741,2024-07-20 02:05:09,202,voice,534,"Collectorganj PS Tower, Kanpur Nagar"
UP-CDR-000030,UP00126,Tariq Pandey,8840000126,UP00520,Bablu Gurjar,7500000520,2024-02-07 18:40:49,38,voice,815,"Sector 24 PS Tower, Gautam Buddha Nagar (Noida)"
UP-CDR-000031,UP00214,Imran Yadav,9450000214,UP00335,Pankaj Srivastav,9839000335,2024-07-11 13:27:51,193,sms,1089,"Raunahi PS Tower, Ayodhya"
