fir_id,date,day,station,location,ipc_sections,narrative,ground_truth_flag
UP-FIR-0001,2024-07-07,189,Sector 20 PS,"Sector 20 PS, Gautam Buddha Nagar (Noida)",Sec 2/3 UP Gangsters Act 1986,"Case Crime No. 0001/2024 registered at Sector 20 PS, Gautam Buddha Nagar (Noida). Charges under Sec 2/3 UP Gangsters Act 1986. Sub-Inspector report states that accused Abhay Tripathi, Neeraj Verma were identified operating in jurisdiction of Gautam Buddha Nagar (Noida). Organized crime syndicate running extortion, tender rigging, and contract killings. Primary accused tracked using mobile 9839001785 operating vehicle registration UP-53-CD-0450.",local_crime
UP-FIR-0002,2024-06-04,156,Shivpur PS,"Shivpur PS, Varanasi",IPC 307 / BNS 109 (Attempt to Murder),"Case Crime No. 0002/2024 registered at Shivpur PS, Varanasi. Charges under IPC 307 / BNS 109 (Attempt to Murder). Sub-Inspector report states that accused Brijesh Chauhan, Abhay Khan, Dhananjay Singh were identified operating in jurisdiction of Varanasi. Firing upon police patrol unit during vehicle interdiction checking. Primary accused tracked using mobile 9412000976 operating vehicle registration UP-16-TZ-6695.",local_crime
UP-FIR-0003,2024-07-20,202,Chakeri PS,"Chakeri PS, Kanpur Nagar",IPC 386 / BNS 308 (Extortion),"Case Crime No. 0003/2024 registered at Chakeri PS, Kanpur Nagar. Charges under IPC 386 / BNS 308 (Extortion). Sub-Inspector report states that accused Pappu Pandey, Rakesh Ansari were identified operating in jurisdiction of Kanpur Nagar. Extortion demand of 50 Lakhs delivered via WhatsApp call to local infrastructure contractor. Primary accused tracked using mobile 9415000577",local_crime
UP-FIR-0004,2024-01-01,1,Ramgarh Tal PS,"Ramgarh Tal PS, Gorakhpur",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0004/2024 registered at Ramgarh Tal PS, Gorakhpur. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Rajesh Gupta, Rizwan Tyagi, Dharmendra Gurjar were identified operating in jurisdiction of Gorakhpur. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 9839000883",local_crime
UP-FIR-0005,2024-06-30,182,Bhelupur PS,"Bhelupur PS, Varanasi",NDPS Act Sec 8/20/21,"Case Crime No. 0005/2024 registered at Bhelupur PS, Varanasi. Charges under NDPS Act Sec 8/20/21. Sub-Inspector report states that accused Santosh Srivastav, Neeraj Rajput, Rajesh Pal were identified operating in jurisdiction of Varanasi. Interception of commercial consignment of contraband narcotics transported across state border. Primary accused tracked using mobile 9927001293",local_crime
UP-FIR-0006,2024-04-07,98,Sipri Bazar PS,"Sipri Bazar PS, Jhansi",IPC 302 / BNS 103 (Murder),"Case Crime No. 0006/2024 registered at Sipri Bazar PS, Jhansi. Charges under IPC 302 / BNS 103 (Murder). Sub-Inspector report states that accused Aslam Jaiswal, Vikram Verma, Sanjay Kushwaha were identified operating in jurisdiction of Jhansi. Armed shootout outside court premises resulting in fatal casualty. Primary accused tracked using mobile 9837001739 operating vehicle registration UP-14-GH-9667.",local_crime
UP-FIR-0007,2024-01-24,24,Kalyanpur PS,"Kalyanpur PS, Kanpur Nagar",IPC 395 / BNS 310 (Dacoity),"Case Crime No. 0007/2024 registered at Kalyanpur PS, Kanpur Nagar. Charges under IPC 395 / BNS 310 (Dacoity). Sub-Inspector report states that accused Aslam Mishra, Mukhtar Shukla, Gufran Shukla were identified operating in jurisdiction of Kanpur Nagar. Armed highway robbery of cash transit vehicle on expressway. Primary accused tracked using mobile 8840000761 operating vehicle registration UP-93-AB-3040.",local_crime
UP-FIR-0008,2024-02-15,46,Sigra PS,"Sigra PS, Varanasi",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0008/2024 registered at Sigra PS, Varanasi. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Rajesh Dubey, Mahesh Pandey were identified operating in jurisdiction of Varanasi. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 8840000046",syndicate
UP-FIR-0009,2024-05-13,134,Sikandra PS,"Sikandra PS, Agra",Arms Act Sec 25/27,"Case Crime No. 0009/2024 registered at Sikandra PS, Agra. Charges under Arms Act Sec 25/27. Sub-Inspector report states that accused Gufran Pal, Rizwan Pandey were identified operating in jurisdiction of Agra. Recovery of illegal 0.32 bore pistols and country-made firearms without valid license. Primary accused tracked using mobile 9415000376 operating vehicle registration UP-65-LM-6494.",local_crime
UP-FIR-0010,2024-04-11,102,Brahmpuri PS,"Brahmpuri PS, Meerut",IPC 420/467/468 (Cheating & Forgery),"Case Crime No. 0010/2024 registered at Brahmpuri PS, Meerut. Charges under IPC 420/467/468 (Cheating & Forgery). Sub-Inspector report states that accused Sanjay Maurya, Ajay Tyagi were identified operating in jurisdiction of Meerut. Fraudulent land registry using forged power of attorney and impersonation. Primary accused tracked using mobile 9719000860",local_crime
