txn_id,sender_id,sender_name,sender_account,receiver_id,receiver_name,receiver_account,amount_inr,timestamp,day,txn_type,ground_truth_flag
UP-TXN-00001,UP00420,Munna Yadav,SBIN000000000420,UP00498,Imran Pandey,SBIN000000000498,152060,2024-06-07 18:37:00,159,NEFT,none
UP-TXN-00002,UP00113,Imran Siddiqui,SBIN000000000113,UP00575,Suresh Gautam,PUNB000000000575,305712,2024-03-16 13:39:00,76,RTGS,none
UP-TXN-00003,UP00154,Santosh Gupta,SBIN000000000154,UP00037,Sunil Gautam,PUNB000000000037,365007,2024-04-29 18:47:00,120,RTGS,none
UP-TXN-00004,UP00163,Rakesh Dubey,PUNB000000000163,UP00053,Rajesh Chauhan,PUNB000000000053,48172,2024-02-09 13:37:00,40,UPI,hawala_structuring
UP-TXN-00005,UP00094,Dharmendra Shukla,BARB000000000094,UP00389,Atiq Yadav,PUNB000000000389,140068,2024-05-24 10:55:00,145,IMPS,none
UP-TXN-00006,UP00182,Bablu Pandey,UBIN000000000182,UP00113,Imran Siddiqui,SBIN000000000113,47138,2024-07-24 14:54:00,206,IMPS,hawala_structuring
UP-TXN-00007,UP00053,Rajesh Chauhan,PUNB000000000053,UP00420,Munna Yadav,SBIN000000000420,266922,2024-04-18 16:58:00,109,RTGS,none
UP-TXN-00008,UP00298,Munna Gurjar,SBIN000000000298,UP00358,Akhilesh Nagar,UBIN000000000358,159573,2024-06-20 19:42:00,172,Bank Transfer,none
UP-TXN-00009,UP00348,Rakesh Pal,PUNB000000000348,UP00395,Ramesh Pal,SBIN000000000395,46131,2024-03-14 09:16:00,74,NEFT,hawala_structuring
UP-TXN-00010,UP00254,Gufran Ansari,SBIN000000000254,UP00109,Satish Ansari,UBIN000000000109,46391,2024-01-06 16:01:00,6,UPI,hawala_structuring
UP-TXN-00011,UP00357,Amit Shukla,HDFC000000000357,UP00514,Akhilesh Maurya,HDFC000000000514,48572,2024-03-16 18:39:00,76,IMPS,hawala_structuring
UP-TXN-00012,UP00552,Abhay Khan,SBIN000000000552,UP00377,Santosh Singh,UBIN000000000377,332406,2024-07-11 17:20:00,193,RTGS,none
UP-TXN-00013,UP00001,Rajesh Rajput,BARB000000000001,UP00534,Imran Jaiswal,PUNB000000000534,49321,2024-03-20 16:08:00,80,NEFT,hawala_structuring
UP-TXN-00014,UP00319,Vikram Chauhan,HDFC000000000319,UP00143,Vikram Pal,PUNB000000000143,39653,2024-05-02 13:29:00,123,NEFT,none
UP-TXN-00015,UP00058,Suresh Jaiswal,UBIN000000000058,UP00403,Imran Verma,SBIN000000000403,49515,2024-02-23 16:55:00,54,NEFT,hawala_structuring
UP-TXN-00016,UP00092,Vikram Rawat,SBIN000000000092,UP00159,Santosh Pandey,BARB000000000159,46027,2024-04-11 18:11:00,102,NEFT,hawala_structuring
UP-TXN-00017,UP00041,Neeraj Pal,SBIN000000000041,UP00331,Sanjay Dubey,SBIN000000000331,135817,2024-07-19 10:49:00,201,NEFT,none
UP-TXN-00018,UP00191,Suresh Pal,SBIN000000000191,UP00088,Pankaj Tomar,BARB000000000088,204433,2024-05-25 10:57:00,146,RTGS,none
UP-TXN-00019,UP00141,Mahesh Dubey,UBIN000000000141,UP00339,Atiq Pal,PUNB000000000339,49927,2024-08-17 11:35:00,230,UPI,hawala_structuring
UP-TXN-00020,UP00521,Rizwan Kushwaha,UBIN000000000521,UP00182,Bablu Pandey,UBIN000000000182,47765,2024-08-14 16:50:00,227,NEFT,hawala_structuring
UP-TXN-00021,UP00469,Dhananjay Dubey,SBIN000000000469,UP00226,Ramesh Rawat,SBIN000000000226,46963,2024-07-23 19:01:00,205,UPI,hawala_structuring
UP-TXN-00022,UP00303,Ravindra Chaudhary,BARB000000000303,UP00508,Babloo Maurya,SBIN000000000508,209767,2024-04-30 17:56:00,121,RTGS,none
UP-TXN-00023,UP00228,Manoj Verma,HDFC000000000228,UP00367,Abhay Srivastav,HDFC000000000367,49216,2024-07-07 11:22:00,189,NEFT,hawala_structuring
UP-TXN-00024,UP00349,Dharmendra Ansari,SBIN000000000349,UP00239,Pappu Rajput,SBIN000000000239,106516,2024-05-21 16:20:00,142,NEFT,none
UP-TXN-00025,UP00250,Rajesh Gurjar,UBIN000000000250,UP00487,Ajay Rajput,PUNB000000000487,147718,2024-06-23 11:08:00,175,NEFT,none
UP-TXN-00026,UP00294,Akhilesh Mishra,SBIN000000000294,UP00045,Tariq Tiwari,UBIN000000000045,45515,2024-04-06 12:18:00,97,NEFT,hawala_structuring
UP-TXN-00027,UP00530,Amit Nagar,UBIN000000000530,UP00309,Suresh Gupta,SBIN000000000309,379370,2024-03-30 12:29:00,90,RTGS,none
UP-TXN-00028,UP00395,Ramesh Pal,SBIN000000000395,UP00002,Rajesh Tiwari,HDFC000000000002,145986,2024-08-21 18:50:00,234,IMPS,none
UP-TXN-00029,UP00038,Sunil Tiwari,PUNB000000000038,UP00295,Neeraj Bind,SBIN000000000295,336503,2024-04-09 15:03:00,100,RTGS,none
UP-TXN-00030,UP00537,Guddu Srivastav,SBIN000000000537,UP00070,Pankaj Tiwari,SBIN000000000070,110316,2024-04-10 17:59:00,101,NEFT,none
UP-TXN-00031,UP00590,Atiq Jaiswal,BARB000000000590,UP00010,Babloo Tiwari,PUNB000000000010,49268,2024-02-01 12:19:00,32,NEFT,hawala_structuring
UP-TXN-00032,UP00344,Neeraj Kushwaha,HDFC000000000344,UP00153,Sunil Shukla,HDFC000000000153,46557,2024-01-13 13:15:00,13,NEFT,hawala_structuring
UP-TXN-00033,UP00013,Satish Siddiqui,SBIN000000000013,UP00001,Rajesh Rajput,BARB000000000001,347703,2024-08-19 17:30:00,232,RTGS,none
UP-TXN-00034,UP00442,Dhananjay Gupta,PUNB000000000442,UP00150,Virendra Yadav,PUNB000000000150,206991,2024-07-04 14:52:00,186,RTGS,none
UP-TXN-00035,UP00442,Dhananjay Gupta,PUNB000000000442,UP00470,Tariq Chaudhary,SBIN000000000470,97819,2024-06-05 09:12:00,157,NEFT,none
UP-TXN-00036,UP00499,Akhilesh Bind,SBIN000000000499,UP00313,Satish Gurjar,SBIN000000000313,68134,2024-07-23 14:48:00,205,Bank Transfer,none
UP-TXN-00037,UP00047,Chhotu Tripathi,BARB000000000047,UP00167,Sunil Kushwaha,BARB000000000167,46309,2024-03-30 11:04:00,90,NEFT,hawala_structuring
UP-TXN-00038,UP00482,Munna Singh,SBIN000000000482,UP00175,Munna Rajput,HDFC000000000175,163544,2024-08-04 10:22:00,217,IMPS,none
UP-TXN-00039,UP00516,Imran Dubey,UBIN000000000516,UP00545,Ravindra Qureshi,HDFC000000000545,46631,2024-01-29 15:48:00,29,IMPS,hawala_structuring
UP-TXN-00040,UP00333,Satish Chauhan,SBIN000000000333,UP00062,Manoj Chauhan,UBIN000000000062,166732,2024-06-18 10:09:00,170,NEFT,none
UP-TXN-00041,UP00268,Abhay Bind,PUNB000000000268,UP00181,Sanjay Yadav,UBIN000000000181,198476,2024-07-28 09:42:00,210,IMPS,none
UP-TXN-00042,UP00015,Amit Tyagi,SBIN000000000015,UP00215,Guddu Khan,HDFC000000000215,259581,2024-07-16 19:19:00,198,RTGS,none
UP-TXN-00043,UP00560,Guddu Verma,UBIN000000000560,UP00340,Akhilesh Tomar,SBIN000000000340,48274,2024-07-20 16:24:00,202,IMPS,hawala_structuring
UP-TXN-00044,UP00066,Sanjay Nishad,BARB000000000066,UP00197,Rajesh Nagar,PUNB000000000197,279756,2024-01-02 16:18:00,2,RTGS,none
UP-TXN-00045,UP00144,Rakesh Rajput,PUNB000000000144,UP00334,Sonu Mishra,UBIN000000000334,177957,2024-08-01 09:27:00,214,NEFT,none
UP-TXN-00046,UP00278,Babloo Gautam,SBIN000000000278,UP00515,Aslam Shukla,SBIN000000000515,248982,2024-02-14 17:20:00,45,RTGS,none
UP-TXN-00047,UP00112,Sunil Srivastav,SBIN000000000112,UP00262,Tariq Tiwari,PUNB000000000262,18299,2024-07-02 16:22:00,184,IMPS,none
UP-TXN-00048,UP00416,Satish Jaiswal,SBIN000000000416,UP00096,Chhotu Dubey,HDFC000000000096,46480,2024-04-29 09:53:00,120,IMPS,hawala_structuring
UP-TXN-00049,UP00477,Chhotu Rajput,SBIN000000000477,UP00153,Sunil Shukla,HDFC000000000153,258304,2024-06-19 11:10:00,171,RTGS,none
UP-TXN-00050,UP00030,Ramesh Maurya,PUNB000000000030,UP00571,Abhay Srivastav,SBIN000000000571,49899,2024-07-17 09:03:00,199,NEFT,hawala_structuring
UP-TXN-00051,UP00467,Mahesh Pal,SBIN000000000467,UP00066,Sanjay Nishad,BARB000000000066,155580,2024-07-23 18:33:00,205,NEFT,none
UP-TXN-00052,UP00249,Neeraj Pandey,HDFC000000000249,UP00550,Babloo Maurya,PUNB000000000550,49203,2024-05-07 14:54:00,128,NEFT,hawala_structuring
UP-TXN-00053,UP00236,Pankaj Mishra,HDFC000000000236,UP00268,Abhay Bind,PUNB000000000268,243711,2024-01-12 10:11:00,12,RTGS,none
UP-TXN-00054,UP00016,Sonu Tiwari,SBIN000000000016,UP00057,Akhilesh Chauhan,SBIN000000000057,48080,2024-07-23 15:43:00,205,UPI,hawala_structuring
UP-TXN-00055,UP00461,Ajay Rawat,UBIN000000000461,UP00582,Imran Kushwaha,HDFC000000000582,446330,2024-02-06 12:49:00,37,RTGS,none
UP-TXN-00056,UP00544,Deepak Verma,PUNB000000000544,UP00469,Dhananjay Dubey,SBIN000000000469,280984,2024-01-28 17:41:00,28,RTGS,none
UP-TXN-00057,UP00305,Abhay Tyagi,UBIN000000000305,UP00376,Gufran Pal,BARB000000000376,308751,2024-05-18 15:42:00,139,RTGS,none
UP-TXN-00058,UP00079,Pramod Gautam,PUNB000000000079,UP00235,Imran Srivastav,UBIN000000000235,254971,2024-04-27 12:46:00,118,RTGS,none
UP-TXN-00059,UP00191,Suresh Pal,SBIN000000000191,UP00522,Pankaj Srivastav,UBIN000000000522,303669,2024-05-17 16:43:00,138,RTGS,none
UP-TXN-00060,UP00086,Guddu Srivastav,SBIN000000000086,UP00085,Munna Verma,UBIN000000000085,195056,2024-04-20 09:32:00,111,IMPS,none
UP-TXN-00061,UP00443,Imran Shukla,UBIN000000000443,UP00224,Neeraj Pandey,BARB000000000224,256181,2024-01-25 10:05:00,25,RTGS,none
UP-TXN-00062,UP00284,Brijesh Kushwaha,SBIN000000000284,UP00108,Deepak Pandey,UBIN000000000108,45469,2024-02-27 15:31:00,58,IMPS,hawala_structuring
UP-TXN-00063,UP00486,Deepak Rawat,BARB000000000486,UP00220,Vikram Shukla,UBIN000000000220,132687,2024-04-11 13:52:00,102,IMPS,none
UP-TXN-00064,UP00350,Aslam Pandey,BARB000000000350,UP00443,Imran Shukla,UBIN000000000443,119975,2024-01-06 12:10:00,6,Bank Transfer,none
UP-TXN-00065,UP00518,Babloo Bind,PUNB000000000518,UP00208,Akhilesh Mishra,UBIN000000000208,49265,2024-04-07 09:08:00,98,IMPS,hawala_structuring
