master_id,merged_ids,method,confidence,name_score,phone_score,context_score,source_id,source_type,evidence_snippet,evidence_hash
UP00004,Imran Nishad @ Don,fuzzy(name:80/100=0.800+phone:0.0*0.04+ctx:0.5*0.02=0.810),0.81,80.0,0.0,0.5,UP-CRIM-0004,criminal_history,Imran Nishad @ Don,1a74d09d1b3387e9
UP00010,Babloo Tiwari @ Pandit,fuzzy(name:74/100=0.743+phone:0.0*0.04+ctx:0.5*0.02=0.753),0.753,74.3,0.0,0.5,UP-CRIM-0010,criminal_history,Babloo Tiwari @ Pandit,aad637a5c7c2ffa3
UP00034,Satish Jaiswal @ Raja,fuzzy(name:80/100=0.800+phone:0.0*0.04+ctx:0.5*0.02=0.810),0.81,80.0,0.0,0.5,UP-CRIM-0034,criminal_history,Satish Jaiswal @ Raja,78a201d9f6569ddc
UP00041,Neeraj Pal @ Bhaiya,fuzzy(name:69/100=0.690+phone:0.0*0.04+ctx:0.5*0.02=0.700),0.7,69.0,0.0,0.5,UP-CRIM-0041,criminal_history,Neeraj Pal @ Bhaiya,2ecfd15e391d6188
UP00044,Mahesh Pandey @ Contractor,fuzzy(name:67/100=0.667+phone:0.0*0.04+ctx:0.5*0.02=0.677),0.677,66.7,0.0,0.5,UP-CRIM-0044,criminal_history,Mahesh Pandey @ Contractor,0afa31d7ac8ddb59
UP00048,Imran Maurya @ Pandit,fuzzy(name:73/100=0.727+phone:0.0*0.04+ctx:0.5*0.02=0.737),0.737,72.7,0.0,0.5,UP-CRIM-0048,criminal_history,Imran Maurya @ Pandit,24b155d10a04becb
UP00049,Virendra Tyagi @ Vakil,fuzzy(name:78/100=0.778+phone:0.0*0.04+ctx:0.5*0.02=0.788),0.788,77.8,0.0,0.5,UP-CRIM-0049,criminal_history,Virendra Tyagi @ Vakil,8b8ff6aa852b1a43
UP00053,Rajesh Chauhan @ Chacha,fuzzy(name:76/100=0.757+phone:0.0*0.04+ctx:0.5*0.02=0.767),0.767,75.7,0.0,0.5,UP-CRIM-0053,criminal_history,Rajesh Chauhan @ Chacha,49122c48dc867cf3
UP00057,Akhilesh Chauhan @ Pahalwan,fuzzy(name:74/100=0.744+phone:0.0*0.04+ctx:0.5*0.02=0.754),0.754,74.4,0.0,0.5,UP-CRIM-0057,criminal_history,Akhilesh Chauhan @ Pahalwan,95b0360d4105502b
UP00074,Rajesh Tripathi @ Don,fuzzy(name:83/100=0.833+phone:0.0*0.04+ctx:0.5*0.02=0.843),0.843,83.3,0.0,0.5,UP-CRIM-0074,criminal_history,Rajesh Tripathi @ Don,851cb2dca359ac8f
