call_id,caller_id,caller_name,caller_phone,callee_id,callee_name,callee_phone,timestamp,day,call_type,duration_sec,cell_tower_location
KK-CDR-000001,KK00286,Bhavesh Shinde,9930000286,KK00370,Pravin Khatib,8976000370,2025-01-01 09:55:40,1,voice,253,"Naupada Cell Site B, Thane"
KK-CDR-000002,KK00068,Prakash Koli,9833000068,KK00161,Shirish Parab,9833000161,2025-01-01 06:00:17,1,voice,800,"Rabodi Cell Site A, Thane"
KK-CDR-000003,KK00020,Vilas Sawant,9167000020,KK00003,Deepak Pawar,9167000003,2025-01-01 06:10:33,1,voice,765,"Palghar Cell Site B, Palghar"
KK-CDR-000004,KK00016,Anil Tandel,9167000016,KK00030,Vilas Khatib,8655000030,2025-01-01 22:51:57,1,voice,452,"Dapoli Cell Site A, Ratnagiri"
KK-CDR-000005,KK00072,Yogesh Momin,9833000072,KK00084,Vinod Deshmukh,9833000084,2025-01-01 11:50:16,1,voice,31,"Kapurbawdi Cell Site A, Thane"
KK-CDR-000006,KK00042,Shabbir Jadhav,9930000042,KK00038,Iqbal Mehta,9820000038,2025-01-01 08:55:38,1,voice,340,"Ghatkopar Cell Site B, Mumbai Suburban"
KK-CDR-000007,KK00076,Jitendra Shaikh,9833000076,KK00148,Anil Ansari,9930000148,2025-01-01 16:09:46,1,voice,431,"Naupada Cell Site B, Thane"
KK-CDR-000008,KK00049,Santosh Zaveri,9833000049,KK00061,Sameer Soni,9820000061,2025-01-01 10:23:37,1,voice,737,"Kurla Cell Site B, Mumbai Suburban"
KK-CDR-000009,KK00038,Iqbal Mehta,9820000038,KK00060,Mangesh Tandel,9820000060,2025-01-01 22:56:39,1,voice,150,"Sakinaka Cell Site B, Mumbai Suburban"
KK-CDR-000010,KK00011,Yogesh Kadam,7045000011,KK00035,Balkrishna Shaikh,9167000035,2025-01-01 21:36:15,1,voice,701,"Uran Cell Site A, Raigad (Uran / JNPT)"
KK-CDR-000011,KK00055,Vilas Shinde,8976000055,KK00044,Ashok Sayyed,9833000044,2025-01-01 11:10:37,1,voice,757,"LT Marg Cell Site A, Mumbai City"
KK-CDR-000012,KK00058,Dattatray Patil,9833000058,KK00042,Shabbir Jadhav,9930000042,2025-01-01 16:06:25,1,voice,769,"LT Marg Cell Site A, Mumbai City"
KK-CDR-000013,KK00029,Pravin Koli,7045000029,KK00104,Imtiaz Bhosale,9167000104,2025-01-01 23:35:28,1,voice,814,"Satpati Coastal Cell Site B, Palghar"
KK-CDR-000014,KK00024,Nilesh Parekh,9422000024,KK00019,Arif Gaikwad,9422000019,2025-01-01 23:42:03,1,voice,245,"Uran Cell Site A, Raigad (Uran / JNPT)"
KK-CDR-000015,KK00189,Dattatray Jadhav,9833000189,KK00120,Bhavesh Soni,8976000120,2025-01-01 19:13:39,1,voice,63,"Rabodi Cell Site B, Thane"
KK-CDR-000016,KK00075,Rafiq Pawar,8976000075,KK00084,Vinod Deshmukh,9833000084,2025-01-01 22:04:17,1,voice,220,"Vartak Nagar Cell Site B, Thane"
KK-CDR-000017,KK00100,Suhas Mehta,9323000100,KK00198,Ashok Khatib,9833000198,2025-01-01 11:11:55,1,voice,463,"Sakinaka Cell Site B, Mumbai Suburban"
KK-CDR-000018,KK00024,Nilesh Parekh,9422000024,KK00023,Prakash Deshmukh,8655000023,2025-01-01 15:57:44,1,voice,440,"Nhava Sheva Port Cell Site A, Raigad (Uran / JNPT)"
KK-CDR-000019,KK00079,Rafiq Soni,8976000079,KK00078,Shirish Salvi,9833000078,2025-01-01 19:44:56,1,voice,18,"Kapurbawdi Cell Site A, Thane"
KK-CDR-000020,KK00053,Pravin Bhatkar,9833000053,KK00062,Paresh Parekh,9820000062,2025-01-01 07:43:51,1,voice,563,"Sakinaka Cell Site A, Mumbai Suburban"
KK-CDR-000021,KK00013,Kishor Koli,7045000013,KK00003,Deepak Pawar,9167000003,2025-01-01 18:25:33,1,voice,574,"Satpati Coastal Cell Site A, Palghar"
KK-CDR-000022,KK00018,Suhas Sanghvi,9167000018,KK00006,Salim Parab,8655000006,2025-01-01 16:11:41,1,voice,845,"Guhagar Cell Site B, Ratnagiri"
KK-CDR-000023,KK00190,Bhavesh Kothari,9323000190,KK00211,Nitin Parekh,9820000211,2025-01-01 22:58:19,1,voice,318,"Wagle Estate Cell Site A, Thane"
KK-CDR-000024,KK00021,Santosh Bhandari,9422000021,KK00016,Anil Tandel,9167000016,2025-01-02 09:43:54,2,voice,447,"Harnai Coastal Cell Site A, Ratnagiri"
KK-CDR-000025,KK00073,Mangesh Naik,9323000073,KK00078,Shirish Salvi,9833000078,2025-01-02 07:45:53,2,voice,564,"Vartak Nagar Cell Site A, Thane"
KK-CDR-000026,KK00013,Kishor Koli,7045000013,KK00205,Mangesh Koli,7045000205,2025-01-02 17:33:35,2,voice,415,"Nalasopara Cell Site A, Palghar"
