txn_id,sender_id,sender_name,sender_account,receiver_id,receiver_name,receiver_account,amount_inr,timestamp,day,txn_type,ground_truth_flag
KK-TXN-00001,KK00007,Santosh Sanghvi,BKID000700000049,KK00026,Rafiq Shah,BKID000700000182,369000,2025-01-01 18:24:18,1,Bank Transfer,none
KK-TXN-00002,KK00188,Bhavesh Bhandari,BKID000700001316,KK00170,Kishor Thakur,BKID000700001190,98500,2025-01-01 19:05:30,1,NEFT,none
KK-TXN-00003,KK00403,Paresh Jadhav,MAHB000700002821,KK00358,Jitendra Dalvi,MAHB000700002506,444500,2025-01-01 19:01:40,1,NEFT,none
KK-TXN-00004,KK00065,Dnyaneshwar Bhandari,HDFC000700000455,KK00066,Hanif Chavan,SBIN000700000462,257000,2025-01-01 18:14:41,1,UPI,none
KK-TXN-00005,KK00040,Rajan Ansari,SBIN000700000280,KK00191,Javed Naik,SBIN000700001337,448000,2025-01-01 16:01:38,1,Hawala,none
KK-TXN-00006,KK00082,Kishor Gaikwad,MAHB000700000574,KK00190,Bhavesh Kothari,MAHB000700001330,447000,2025-01-01 20:05:34,1,Hawala,none
KK-TXN-00007,KK00197,Fayyaz Dalvi,HDFC000700001379,KK00107,Yogesh Bhosale,SBIN000700000749,266000,2025-01-02 19:48:09,2,Hawala,none
KK-TXN-00008,KK00085,Prakash Shaikh,MAHB000700000595,KK00189,Dattatray Jadhav,MAHB000700001323,166500,2025-01-02 15:53:08,2,Cash,none
KK-TXN-00009,KK00039,Ravindra Bhosale,SBIN000700000273,KK00038,Iqbal Mehta,HDFC000700000266,358000,2025-01-02 19:48:35,2,Cash,none
KK-TXN-00010,KK00029,Pravin Koli,UTIB000700000203,KK00135,Deepak Sanghvi,BKID000700000945,164000,2025-01-02 11:02:25,2,NEFT,none
KK-TXN-00011,KK00103,Rafiq Khatib,MAHB000700000721,KK00130,Nitin Doshi,MAHB000700000910,35500,2025-01-02 16:46:31,2,UPI,none
KK-TXN-00012,KK00080,Rajan Desai,MAHB000700000560,KK00078,Shirish Salvi,MAHB000700000546,428000,2025-01-02 13:07:48,2,NEFT,none
KK-TXN-00013,KK00048,Sameer Doshi,SBIN000700000336,KK00063,Sameer Koli,SBIN000700000441,273000,2025-01-03 14:58:34,3,Bank Transfer,none
KK-TXN-00014,KK00070,Hanif Kadam,MAHB000700000490,KK00076,Jitendra Shaikh,MAHB000700000532,296500,2025-01-03 09:02:10,3,NEFT,none
KK-TXN-00015,KK00066,Hanif Chavan,SBIN000700000462,KK00062,Paresh Parekh,HDFC000700000434,472000,2025-01-03 18:52:51,3,Hawala,none
KK-TXN-00016,KK00002,Iqbal Naik,BKID000700000014,KK00207,Shabbir Pawar,BKID000700001449,229500,2025-01-03 15:58:51,3,IMPS,none
KK-TXN-00017,KK00036,Fayyaz Kadam,UTIB000700000252,KK00016,Anil Tandel,BKID000700000112,294000,2025-01-03 19:51:33,3,UPI,none
KK-TXN-00018,KK00023,Prakash Deshmukh,BKID000700000161,KK00029,Pravin Koli,UTIB000700000203,58000,2025-01-03 10:29:59,3,Hawala,none
KK-TXN-00019,KK00026,Rafiq Shah,BKID000700000182,KK00030,Vilas Khatib,BKID000700000210,285000,2025-01-03 19:19:53,3,UPI,none
KK-TXN-00020,KK00067,Shirish Pawar,MAHB000700000469,KK00161,Shirish Parab,MAHB000700001127,47000,2025-01-03 09:18:08,3,Cash,none
KK-TXN-00021,KK00006,Salim Parab,BKID000700000042,KK00020,Vilas Sawant,UTIB000700000140,396500,2025-01-03 20:46:34,3,NEFT,none
